Respondent_ID,Age_Group,City_Tier,Occupation,Monthly_Reading_Hours,Primary_Format,Reading_Motivation,Attention_Span,Aesthetic_Importance,Influence_Source,Design_Language,Comp_Tea_Coffee,Comp_Scented_Candle,Comp_Music,Comp_Snacks,Annotation_Style,Inv_Kindle,Inv_Reading_Light,Inv_Bookmarks,Inv_Scented_Candles,Inv_Planner,Favorite_Genre,Gifting_Frequency,Monthly_Lifestyle_Spend,Price_Threshold_Cheap,Price_Threshold_Expensive,Coffee_Benchmark,Customization_Premium,Eco_Importance,Material_Preference,AI_Trust,Subscription_Interest,Final_Intent
RESP_0001,18-24,Tier 3,Creative/Freelancer,10,Hybrid,Digital Detox,1hr+,2,Social Media/Influencers,Minimalist/Modern,1,0,0,0,Dog-ear,1,0,1,0,0,Mythology/History,1-3,1130,443,2582,No,No,3,Metallic,No,One-time Purchase,No
RESP_0002,25-34,Tier 3,Corporate,6,E-books/Kindle,Social Status,30-60m,4,Social Media/Influencers,Dark Academia/Vintage,0,0,1,0,Digital Notes,1,1,0,1,1,Thriller/Mystery,1-3,3819,391,1866,No,Yes,2,Metallic,Yes,Monthly Surprise Box,No
RESP_0003,18-24,Tier 1,Other,13,Hybrid,Digital Detox,15-30m,3,Peer Recommendations,Minimalist/Modern,0,1,0,0,Dog-ear,1,0,1,1,1,Self-Help,4-6,10578,768,2447,Yes,No,1,Metallic,No,Monthly Surprise Box,Yes
RESP_0004,18-24,Tier 1,Creative/Freelancer,15,Physical Books,Digital Detox,30-60m,4,Social Media/Influencers,Dark Academia/Vintage,1,1,1,1,Sticky Tabs,0,1,0,1,0,Sci-Fi,1-3,8575,864,3314,Yes,Yes,3,Genuine Leather,Yes,One-time Purchase,Yes
RESP_0005,25-34,Tier 3,Corporate,7,Physical Books,Learn/Grow,15-30m,3,Bestseller Lists,Minimalist/Modern,0,0,1,0,Dog-ear,0,0,1,0,1,Mythology/History,1-3,2118,441,1919,No,No,5,Genuine Leather,Yes,One-time Purchase,No
RESP_0006,18-24,Tier 1,Student,7,Physical Books,Escape/Relax,15-30m,5,Social Media/Influencers,Dark Academia/Vintage,0,1,1,1,Sticky Tabs,0,0,1,1,1,Romance,1-3,6532,743,3028,Yes,Yes,4,Recycled Wood,No,Monthly Surprise Box,Maybe
RESP_0007,25-34,Tier 1,Other,14,Hybrid,Digital Detox,15-30m,2,Social Media/Influencers,Minimalist/Modern,0,0,0,1,Digital Notes,1,0,0,0,1,Mythology/History,4-6,8685,931,3437,Yes,No,4,Metallic,No,Monthly Surprise Box,No
RESP_0008,25-34,Tier 1,Other,19,E-books/Kindle,Social Status,30-60m,1,Social Media/Influencers,Minimalist/Modern,1,0,1,1,None,1,0,1,0,0,Thriller/Mystery,1-3,4490,558,2089,No,No,1,Metallic,No,One-time Purchase,Maybe
RESP_0009,25-34,Tier 1,Corporate,15,Hybrid,Learn/Grow,15-30m,3,Social Media/Influencers,Minimalist/Modern,1,0,0,0,Dog-ear,1,0,1,1,1,Sci-Fi,1-3,6675,693,2487,Yes,No,3,Metallic,Yes,One-time Purchase,No
RESP_0010,25-34,Tier 2,Student,19,Physical Books,Digital Detox,30-60m,4,Peer Recommendations,Traditional Indian/Ikat,1,0,0,0,None,0,1,1,0,0,Romance,0,6822,755,3345,Yes,Yes,3,Genuine Leather,Yes,One-time Purchase,Yes
RESP_0011,25-34,Tier 1,Student,100,Physical Books,Escape/Relax,15-30m,4,Social Media/Influencers,Dark Academia/Vintage,1,0,1,0,Sticky Tabs,0,0,1,0,0,Self-Help,4-6,6696,762,2878,Yes,Yes,5,Handloom Fabric,No,Monthly Surprise Box,Maybe
